year	day	stars	position	name	seconds
2020	1	1	0	DrHerman	128
2020	1	1	0	Relevati0n	140
2020	1	1	0	Rhizome	240
2020	1	1	0	J0R1AN	389
2020	1	1	0	Semper Fight	454
2020	1	1	0	profdracula	468
2020	1	1	0	fyezool	1035
2020	1	1	0	securaji	1152
2020	1	1	0	klarz	1159
2020	1	1	0	Afoeman	1221
2020	1	1	0	Hacker 17	1644
2020	1	1	0	clorin	2002
2020	1	1	0	Killabie	2663
2020	1	1	0	Liber.exposed	2703
2020	1	1	0	Mr Murky	3424
2020	1	1	0	0x90	3573
2020	1	1	0	bluemacro	3751
2020	1	1	0	S1LV3R	4590
2020	1	1	0	Levi'0	4724
2020	1	1	0	Kim	4786
2020	2	1	0	Heras	37
2020	2	1	0	profdracula	415
2020	2	1	0	Rhizome	619
2020	2	1	0	Relevati0n	713
2020	2	1	0	fyezool	714
2020	2	1	0	ctf	750
2020	2	1	0	M0hamm3d	1068
2020	2	1	0	DrHerman	1362
2020	2	1	0	TastyPizza	1397
2020	2	1	0	esp0xdeadbeef	1504
2020	2	1	0	0x90	1708
2020	2	1	0	Kim	1830
2020	2	1	0	J0R1AN	2108
2020	2	1	0	0xjj	2295
2020	2	1	0	Marxxx	3075
2020	2	1	0	Rendiertje	3136
2020	2	1	0	Afoeman	3570
2020	2	1	0	Dolbz	3693
2020	2	1	0	thega96	3858
2020	2	1	0	WhiteGrizzly	4118
2020	3	1	0	backslash0	186
2020	3	1	0	Relevati0n	204
2020	3	1	0	exalt	384
2020	3	1	0	TastyPizza	441
2020	3	1	0	profdracula	588
2020	3	1	0	DrHerman	672
2020	3	1	0	Kim	852
2020	3	1	0	pwk302	900
2020	3	1	0	securaji	902
2020	3	1	0	0x90	1199
2020	3	1	0	Heras	1301
2020	3	1	0	Ali-ElAsfoury	1449
2020	3	1	0	M0hamm3d	1494
2020	3	1	0	not_really_me	1682
2020	3	1	0	J0R1AN	1743
2020	3	1	0	Niek	1744
2020	3	1	0	blaataap	1873
2020	3	1	0	Rendiertje	1949
2020	3	1	0	fyezool	2114
2020	3	1	0	LePirate	2555
2020	4	1	0	daenrebel	627
2020	4	1	0	DrHerman	932
2020	4	1	0	Ali-ElAsfoury	1065
2020	4	1	0	TastyPizza	1350
2020	4	1	0	thega96	1931
2020	4	1	0	gapipro	2042
2020	4	1	0	Henkie-all-them-hackers-M	2157
2020	4	1	0	b00t	2365
2020	4	1	0	ctf	2984
2020	4	1	0	0x90	3156
2020	4	1	0	adic	3277
2020	4	1	0	Kortekaasy	3634
2020	4	1	0	M0hamm3d	4199
2020	4	1	0	J0R1AN	4219
2020	4	1	0	Tycho	4468
2020	4	1	0	r0oL	4606
2020	4	1	0	Maik	5780
2020	4	1	0	Heras	6401
2020	4	1	0	JackInTheBox	6931
2020	4	1	0	ntaheij	6941
2020	5	1	0	securaji	90
2020	5	1	0	backslash0	94
2020	5	1	0	J0R1AN	172
2020	5	1	0	Maik	791
2020	5	1	0	Heras	1048
2020	5	1	0	profdracula	1262
2020	5	1	0	Levitating	1570
2020	5	1	0	daenrebel	2148
2020	5	1	0	DrHerman	2928
2020	5	1	0	Rhizome	5333
2020	5	1	0	stiK	5615
2020	5	1	0	Ali-ElAsfoury	6028
2020	5	1	0	kingphisher	6364
2020	5	1	0	Henkie-all-them-hackers-M	7908
2020	5	1	0	Dave97	7982
2020	5	1	0	M0hamm3d	8095
2020	5	1	0	Luppe	8151
2020	5	1	0	TastyPizza	8223
2020	5	1	0	Kim	9384
2020	5	1	0	Davey66	9593
